Rk,Player,salary,type,Season,Age,Tm,Lg,MP,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
246,Evan Turner,18606557,Cap Space,2018-19,30,POR,NBA,22,11.6,73,2,1605,4.6,9.9,4.3,8.8,0.2,1.2,1.7,2.4,0.8,6.5,7.4,6.3,0.7,0.4,2.6,2.5,11.1,0.46,0.494,0.212,0.473,0.708,0.504
248,E'Twaun Moore,8664928,Cap Space,2018-19,29,NOP,NBA,27.6,11.5,53,36,1463,6.3,13.1,4.4,8.8,1.9,4.3,1.1,1.5,0.9,2.3,3.1,2.5,1,0.2,1.5,2.8,15.6,0.481,0.506,0.432,0.553,0.763,0.567
249,Cedi Osman,2907143,MLE,2018-19,23,CLE,NBA,32.2,11.5,76,75,2444,5.3,12.4,3.4,6.9,1.9,5.5,2.1,2.7,0.7,4.6,5.3,2.9,0.9,0.2,1.7,2.9,14.6,0.427,0.489,0.348,0.504,0.779,0.536
250,Cameron Payne,150000,0,2018-19,24,TOT,NBA,17.8,11.5,40,13,712,4.9,11.3,3.6,7,1.3,4.2,1.7,2.1,0.7,3,3.6,5.4,1.4,0.5,2.3,3.2,12.6,0.43,0.511,0.298,0.487,0.805,0.519
251,Seth Curry,7441860,MLE,2018-19,28,POR,NBA,18.9,11.4,74,2,1399,5.5,12,2.5,5.5,2.9,6.5,1.1,1.3,0.7,2.4,3.1,1.7,0.9,0.3,1.6,2.5,15,0.456,0.463,0.45,0.577,0.846,0.595
252,Gerald Green,2564753,Minimum Salary,2018-19,33,HOU,NBA,20.2,11.4,73,0,1473,5.6,14.1,1.8,3.3,3.8,10.8,1.4,1.7,0.7,3.7,4.4,1,0.8,0.7,1.3,3.1,16.5,0.4,0.547,0.354,0.535,0.838,0.555
253,Dion Waiters,12100000,Cap space,2018-19,27,MIA,NBA,25.9,11.4,44,28,1138,6.3,15.1,2.8,6,3.4,9.1,0.7,1.4,0.2,3.4,3.7,3.8,0.9,0.3,2,2.3,16.7,0.414,0.471,0.377,0.528,0.5,0.53
254,Justin Jackson,3280920,1st Round Pick,2018-19,23,TOT,NBA,19.9,11.3,81,14,1614,4.8,10.8,2.9,5.4,1.9,5.5,1.4,1.8,1,3.7,4.7,2.1,0.7,0.3,0.6,2.2,13,0.447,0.542,0.355,0.537,0.785,0.561
255,Thon Maker,3569643,1st Round pick,2018-19,21,TOT,NBA,15.2,11.3,64,5,972,4,9.9,2.2,4.3,1.8,5.7,2.1,3.1,1.5,6,7.5,1.7,0.8,1.9,1.2,3.9,12,0.407,0.522,0.32,0.498,0.667,0.53
256,Tyson Chandler,2564753,Minimum Salary,2018-19,36,TOT,NBA,15.9,11.2,55,6,875,2.5,4.1,2.5,4,0,0,2.1,3.6,3.8,8.8,12.6,1.5,0.9,0.9,1.7,4.5,7.1,0.616,0.622,0,0.616,0.586,0.63
